"tweet_text", "sentiment"
There are probably some Americans out there who think Trump would do a better job than Obama you know @flame_gloriosa @night0nmars @TIMENOUT,neutral
RT @The_Trump_Train: @realDonaldTrump It's time to clean the corruption out of Washington. Obama appointed officials must be fired immediat…,positive
RT @KatrinaPierson: RT if you knew Pres-elect @realDonaldTrump was going to be the 45th President of the United States from the day he anno…,neutral
RT @HOOGGGIIE: @DrJudeBug @Trumpocrats @BerryAlicia @realDonaldTrump I just don't see the point in doing it &amp; it's disrespectful The us fla…,neutral
RT @MiltonWolfMD: Read @BarackObama's and @realDonaldTrump's statements again and ask yourself who has the moral clarity and courage to cal…,positive
"RT @realDonaldTrump: Congratulations to Thomas Perez, who has just been named Chairman of the DNC. I could not be happier for him, or for t…",positive
RT @JulianAssange: Wikileaks email shows Clinton 'sealed her OWN FATE’ in plot to make Donald Trump her rival https://t.co/wMWi8lSgcO,negative
"RT @ILoveDJTrump: Holy shit, if the candy asses at @CNN thought the meme @realDonaldTrump tweeted was offensive, they oughtta see the newes…",negative
RT @The_Trump_Train: Glad to see @POTUS working with house conservatives to repeal Obamacare. Nice to finally have a leader in the WH. #MAGA…,positive
@nytimes his supporters are as bigoted as Trump himself,negative
#TopNews Trump apologizes for lewd talk caught on live microphone in 2005,negative
#TrumpBecause he is the only guy talking about China and Mexico stealing our jobs! #Trump2016 #MAGA !!!!! 👨🏻💅🏻😨,positive
"RT @ZaibatsuNews: Without a trace of irony, WH says Mar-A-Lago makes Trump accessible to ""regular Americans"" https://t.co/fCziIFj2Ry https:…",negative
"VIDEO: Race tightening, Clinton revives Trump-women issue https://t.co/fbrBaYWrTl",positive
Senate to vote on Trump’s pick for Air Force secretary https://t.co/lQxAVAqiBy https://t.co/W1vuGXejlw,neutral
"RT @danmericaCNN: Trump on the media: ""It doesn't represent the people, it never will represent the people and we're going to do something…",positive
"Trump is with us so we can put an end to @BarackObama's failed agenda, move at a new direction, and #MakeAmericaGreatAgain!  #ImWithYou https://t.co/5XpdF8v0jI",positive
RT @perfectsliders: Congress listen to #Trump &amp; #WeThePeople If you don't work until you PASS a Health Care Bill (before you go home)🥊YOU W…,positive
RT @SenateGOP: Senate Republicans and @POTUS @realDonaldTrump are seizing this once-in-a-generation opportunity to cut taxes for American f…,positive
"RT @UTHornsRawk: .@Cernovich #Periscope: S. Rice unmasked Trump transition team, NY Times sat on story, so I got it. (Thanks M… https://t.c…",neutral
